algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.22758,0.26834897428535104,3.9580
MAGNA,0.2,0.46896,0.48050423827475236,4.0347
MAGNA,0.1,0.45516,0.4736805073042377,4.0877
MAGNA,0.0,0.35172,0.31524585167770247,4.2619
MAGNA,0.7,0.01038,0.009476391718370447,3.6422
MAGNA,0.5,0.01722,0.02110644451346555,3.6764
MAGNA,0.9,0.01288,0.018872652171859683,3.4822
MAGNA,0.01,0.4862,0.4269546580141737,4.2953
MAGNA,0.03,0.4724,0.451512059639607,4.2720
MAGNA,0.02,0.47586,0.4834709898225539,4.2292
MAGNA,0.05,0.43792000000000003,0.48330675248748595,4.2140
MAGNA,0.04,0.4207,0.485932670233233,4.2472
