algorithm,edge_removal_ratio,train_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.0,0.8,0.85833,0.2993112465867819,15.3418
MAGNA,0.5,0.8,0.09999,0.10243818135831971,9.3473
MAGNA,0.04,0.8,0.71667,0.38329098041392345,13.2226
MAGNA,0.2,0.8,0.64999,0.44062763934591703,12.5252
MAGNA,0.05,0.8,0.95834,0.1057629550772229,14.0693
MAGNA,0.9,0.8,0.02,0.0632455532033676,6.3463
MAGNA,0.02,0.8,0.84166,0.3389710285883179,14.1088
MAGNA,0.03,0.8,0.84167,0.2734359565480248,13.9571
MAGNA,0.7,0.8,0.041659999999999996,0.058925568870115005,6.5227
MAGNA,0.3,0.8,0.24166,0.3673569266470357,9.7228
MAGNA,0.1,0.8,0.83333,0.3535612474051231,13.7868
MAGNA,0.01,0.8,0.95833,0.13177211009921636,17.7179
