algorithm,edge_removal_ratio,train_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.0,0.8,0.81667,0.3701861395148242,16.9502
MAGNA,0.5,0.8,0.15,0.30631421050215013,12.6949
MAGNA,0.04,0.8,0.75,0.3557273893806261,20.2603
MAGNA,0.2,0.8,0.825,0.3694557228019497,18.5850
MAGNA,0.05,0.8,0.75,0.4101324691148242,18.4251
MAGNA,0.9,0.8,0.02111,0.04458062483984619,6.8065
MAGNA,0.02,0.8,0.74166,0.42392769614116455,14.9926
MAGNA,0.03,0.8,0.87501,0.2429429903404409,20.1297
MAGNA,0.7,0.8,0.01666,0.0351223638789368,12.2491
MAGNA,0.3,0.8,0.49167,0.45887819504623323,15.1837
MAGNA,0.1,0.8,0.68334,0.44235383323509,17.6469
MAGNA,0.01,0.8,1.0,0.0,14.4929
