Algorithm,Edge_Removal_Ratio,Train_Ratio,Accuracy
DeepLink,0.05,0.8,1.0000
IONE,0.05,0.8,1.0000
BigAlign,0.1,0.8,0.0545
IsoRank,0.1,0.8,0.1091
IONE,0.01,0.8,0.9091
FINAL,0.2,0.8,1.0000
PALE,0.05,0.8,1.0000
BigAlign,0.2,0.8,0.6727
BigAlign,0.01,0.8,0.0727
DeepLink,0.01,0.8,1.0000
PALE,0.01,0.8,1.0000
BigAlign,0.05,0.8,0.0545
DeepLink,0.1,0.8,1.0000
FINAL,0.05,0.8,0.0182
IONE,0.2,0.8,0.9091
IsoRank,0.05,0.8,0.1273
PALE,0.1,0.8,1.0000
FINAL,0.1,0.8,0.0000
DeepLink,0.2,0.8,0.8182
IsoRank,0.01,0.8,0.5273
IsoRank,0.2,0.8,0.0182
PALE,0.2,0.8,1.0000
FINAL,0.01,0.8,0.0182
IONE,0.1,0.8,0.8182
