Algorithm,Edge_Removal_Ratio,Train_Ratio,Accuracy
DeepLink,0.05,0.2,0.1915
IONE,0.05,0.2,0.6596
BigAlign,0.1,0.2,0.0862
IsoRank,0.1,0.2,0.1379
DeepLink,0.0,0.2,0.4043
IsoRank,0.0,0.2,1.0000
IONE,0.01,0.2,0.6809
PALE,0.05,0.2,0.9574
FINAL,0.2,0.2,0.0000
BigAlign,0.2,0.2,0.0000
BigAlign,0.01,0.2,0.0690
DeepLink,0.01,0.2,0.3617
PALE,0.01,0.2,1.0000
FINAL,0.0,0.2,1.0000
PALE,0.0,0.2,1.0000
BigAlign,0.05,0.2,0.0690
DeepLink,0.1,0.2,0.2766
IONE,0.2,0.2,0.4894
FINAL,0.05,0.2,0.0000
IsoRank,0.05,0.2,0.1207
PALE,0.1,0.2,0.9574
FINAL,0.1,0.2,0.0000
DeepLink,0.2,0.2,0.2128
BigAlign,0.0,0.2,1.0000
IsoRank,0.01,0.2,0.4138
IsoRank,0.2,0.2,0.0517
PALE,0.2,0.2,0.6809
FINAL,0.01,0.2,0.0172
IONE,0.1,0.2,0.5957
IONE,0.0,0.2,0.6383
