Algorithm,Edge_Removal_Ratio,Train_Ratio,Accuracy
DeepLink,0.05,0.2,0.2955
HDA,0.05,0.2,
IONE,0.05,0.2,0.6136
HDA,0.2,0.2,
BigAlign,0.1,0.2,0.0727
IsoRank,0.1,0.2,0.0909
IONE,0.01,0.2,0.6136
PALE,0.05,0.2,0.9545
FINAL,0.2,0.2,1.0000
BigAlign,0.2,0.2,0.8000
BigAlign,0.01,0.2,0.0545
DeepLink,0.01,0.2,0.2500
HDA,0.1,0.2,0.5455
PALE,0.01,0.2,1.0000
BigAlign,0.05,0.2,0.0909
DeepLink,0.1,0.2,0.4318
IONE,0.2,0.2,0.4545
FINAL,0.05,0.2,0.0182
IsoRank,0.05,0.2,0.2182
PALE,0.1,0.2,1.0000
FINAL,0.1,0.2,0.0000
DeepLink,0.2,0.2,0.2500
IsoRank,0.01,0.2,0.6909
IsoRank,0.2,0.2,0.1636
HDA,0.01,0.2,1.0000
PALE,0.2,0.2,0.9091
FINAL,0.01,0.2,0.0000
IONE,0.1,0.2,0.7500
