Algorithm,Edge_Removal_Ratio,Train_Ratio,Accuracy
DeepLink,0.05,0.2,0.7163
IONE,0.05,0.2,0.6908
BigAlign,0.1,0.2,0.0088
IsoRank,0.1,0.2,0.0706
DeepLink,0.0,0.2,0.8269
IsoRank,0.0,0.2,0.9984
IONE,0.01,0.2,0.6875
PALE,0.05,0.2,0.9972
FINAL,0.2,0.2,0.9281
BigAlign,0.2,0.2,0.4931
BigAlign,0.01,0.2,0.0099
DeepLink,0.01,0.2,0.8242
PALE,0.01,0.2,0.9938
FINAL,0.0,0.2,0.0005
PALE,0.0,0.2,0.9952
BigAlign,0.05,0.2,0.0127
DeepLink,0.1,0.2,0.5834
IONE,0.2,0.2,0.6229
FINAL,0.05,0.2,0.0017
IsoRank,0.05,0.2,0.0964
PALE,0.1,0.2,0.9938
FINAL,0.1,0.2,0.0011
DeepLink,0.2,0.2,0.4296
BigAlign,0.0,0.2,0.0121
IsoRank,0.01,0.2,0.3617
IsoRank,0.2,0.2,0.0332
PALE,0.2,0.2,0.9820
FINAL,0.01,0.2,0.0000
IONE,0.1,0.2,0.6814
IONE,0.0,0.2,0.6923
