Algorithm,Edge_Removal_Ratio,Train_Ratio,Accuracy
DeepLink,0.05,0.8,0.9504
HDA,0.05,0.8,0.0661
HDA,0.2,0.8,0.0359
IONE,0.05,0.8,0.6639
BigAlign,0.1,0.8,0.0083
IsoRank,0.1,0.8,0.0535
IONE,0.01,0.8,0.6896
FINAL,0.2,0.8,0.8688
PALE,0.05,0.8,0.9890
BigAlign,0.2,0.8,0.4383
BigAlign,0.01,0.8,0.0132
DeepLink,0.01,0.8,0.9643
PALE,0.01,0.8,0.9973
HDA,0.1,0.8,0.0303
BigAlign,0.05,0.8,0.0121
DeepLink,0.1,0.8,0.9477
FINAL,0.05,0.8,0.0006
IONE,0.2,0.8,0.6160
IsoRank,0.05,0.8,0.0877
PALE,0.1,0.8,0.9917
FINAL,0.1,0.8,0.0011
DeepLink,0.2,0.8,0.9116
IsoRank,0.01,0.8,0.3804
IsoRank,0.2,0.8,0.0404
HDA,0.01,0.8,0.1016
PALE,0.2,0.8,0.9724
FINAL,0.01,0.8,0.0005
IONE,0.1,0.8,0.6584
